Kelas,Interval,Titik_Tengah,Frekuensi,Frekuensi_Relatif,Frekuensi_Kumulatif
1,0 - 1,1.0,320,0.3936,320
2,2 - 3,3.0,85,0.1046,405
3,4 - 5,5.0,143,0.1759,548
4,6 - 7,7.0,122,0.1501,670
5,8 - 9,9.0,62,0.0763,732
6,10 - 11,11.0,25,0.0308,757
7,12 - 13,13.0,22,0.0271,779
8,14 - 15,15.0,18,0.0221,797
9,16 - 17,17.0,13,0.016,810
10,18 - 19,19.0,3,0.0037,813
11,20 - 22,21.0,0,0.0,813
